"Abidjan"	0	6569	4726	4585	5883	5484	2393	7211	6936	5786	5339	10206	8292	5144	11849	3898	7992	6705	7934	4876	12126	4895	4375	12056	15929	14086	5147	16003
"Abu_Dhabi"	6569	0	2386	3255	1378	4631	5294	13525	12547	4839	5912	3669	14721	5471	13452	5618	10616	3731	11008	5237	5961	6249	4282	13076	12079	8054	4237	14253
"Addis-Abbeba"	4726	2386	0	3547	2763	5344	2985	11220	11498	5663	6343	5898	12989	5891	14632	5434	10960	5191	11192	5567	8315	4029	4447	14442	12629	10397	4833	14406
"Athenes"	4585	3255	3547	0	1935	1803	4772	11681	9341	2135	2852	6159	11757	2392	11087	2365	7595	2233	7917	2096	7614	7095	1038	10898	15315	9506	1287	17508
"Bagdad"	5883	1378	2763	1935	0	3260	5181	13082	11277	3483	4534	4408	13643	4092	12298	4295	9252	2544	9635	3861	6288	6786	2937	11983	13381	8342	2858	15585
"Berlin"	5484	4631	5344	1803	3260	0	6314	11906	8425	352	1316	6629	11091	934	9302	1869	5993	1611	6377	878	7351	8816	1194	9097	16081	8913	519	18122
"Brazzaville"	2393	5294	2985	4772	5181	6314	0	8245	9239	6664	6709	8882	10154	6368	14182	5326	10248	6976	10249	6035	11254	2753	5126	14327	13734	13348	5836	14528
"Buenos_Aires"	7211	13525	11220	11681	13082	11906	8245	0	5090	12061	10986	17100	3130	11120	9840	10041	9030	13475	8522	11045	19257	8124	11148	10397	11791	18345	11808	9973
"Caracas"	6936	12547	11498	9341	11277	8425	9239	5090	0	8382	7144	14959	2743	7491	5813	6992	3940	9931	3432	7613	14388	11010	8361	6277	15340	14157	8638	13119
"Copenhague"	5786	4839	5663	2135	3483	352	6664	12061	8382	0	1238	6624	11081	958	8997	2071	5777	1563	6181	1025	7196	9167	1540	8779	16028	8688	863	17945
"Dublin"	5339	5912	6343	2852	4534	1316	6709	10986	7144	1238	0	7858	9844	459	8300	1450	4756	2797	5108	776	8277	9393	1897	8172	17202	9583	1677	18660
"Lhassa"	10206	3669	5898	6159	4408	6629	8882	17100	14959	6624	7858	0	17696	7553	12277	8292	11506	5060	12028	7487	2560	9103	6968	11735	9462	4548	6510	11635
"Lima"	8292	14721	12989	11757	13643	11091	10154	3130	2743	11081	9844	17696	0	10161	6719	9504	6405	12641	5875	10247	16634	10898	10860	7274	12791	15476	11247	10584
"Londres"	5144	5471	5891	2392	4092	934	6368	11120	7491	958	459	7553	10161	0	8747	1262	5213	2506	5560	342	8138	9019	1448	8608	16984	9558	1234	18802
"Los_Angeles"	11849	13452	14632	11087	12298	9302	14182	9840	5813	8997	8300	12277	6719	8747	0	9358	3965	9764	3933	9077	10052	16653	10196	558	12066	8806	9807	10805
"Madrid"	3898	5618	5434	2365	4295	1869	5326	10041	6992	2071	1450	8292	9504	1262	9358	0	5529	3442	5763	1053	9216	8053	1370	9313	17670	10760	1809	19838
"Montreal"	7992	10616	10960	7595	9252	5993	10248	9030	3940	5777	4756	11506	6405	5213	3965	5529	0	7052	529	5498	10457	12888	6589	4081	16020	10382	6422	14634
"Moscou"	6705	3731	5191	2233	2544	1611	6976	13475	9931	1563	2797	5060	12641	2506	9764	3442	7052	0	7505	2490	5785	9101	2380	9439	14480	7474	1670	16530
"New_York"	7934	11008	11192	7917	9635	6377	10249	8522	3432	6181	5108	12028	5875	5560	3933	5763	529	7505	0	5828	10975	12811	6895	4125	15979	10838	6785	14396
"Paris"	4876	5237	5567	2096	3861	878	6035	11045	7613	1025	776	7487	10247	342	9077	1053	5498	2490	5828	0	8211	8679	1120	8944	16949	9709	1032	18971
"Pekin"	12126	5961	8315	7614	6288	7351	11254	19257	14388	7196	8277	2560	16634	8138	10052	9216	10457	5785	10975	8211	0	11661	8120	9494	8941	2094	7453	10771
"Pretoria"	4895	6249	4029	7095	6786	8816	2753	8124	11010	9167	9393	9103	10898	9019	16653	8053	12888	9101	12811	8679	11661	0	7674	16935	11059	13500	8306	11797
"Rome"	4375	4282	4447	1038	2937	1194	5126	11148	8361	1540	1897	6968	10860	1448	10196	1370	6589	2380	6895	1120	8120	7674	0	10054	16300	9855	775	18519
"San_Francisco"	12056	13076	14442	10898	11983	9097	14327	10397	6277	8779	8172	11735	7274	8608	558	9313	4081	9439	4125	8944	9494	16935	10054	0	11940	8262	9611	10849
"Sydney"	15929	12079	12629	15315	13381	16081	13734	11791	15340	16028	17202	9462	12791	16984	12066	17670	16020	14480	15979	16949	8941	11059	16300	11940	0	7817	15964	2224
"Tokyo"	14086	8054	10397	9506	8342	8913	13348	18345	14157	8688	9583	4548	15476	9558	8806	10760	10382	7474	10838	9709	2094	13500	9855	8262	7817	0	9123	9265
"Vienne"	5147	4237	4833	1287	2858	519	5836	11808	8638	863	1677	6510	11247	1234	9807	1809	6422	1670	6785	1032	7453	8306	775	9611	15964	9123	0	18138
"Wellington"	16003	14253	14406	17508	15585	18122	14528	9973	13119	17945	18660	11635	10584	18802	10805	19838	14634	16530	14396	18971	10771	11797	18519	10849	2224	9265	18138	0
